,process,type,sub process,details
0, Plan risk Management, Inputs, Project Management Plan,planning risk management approved subsidiary management plans baselines should be taken consideration order make risk management plan consistent them. risk management plan is also a component project management plan. project management plan provides baseline current state risk-affected areas including scope schedule cost.
1, Plan risk Management, Inputs, Project charter,project charter can provide various inputs such as high-level risks high-level project descriptions high-level requirements.
2, Plan risk Management, Inputs, Stakeholder register,stakeholder register contains details related project’s stakeholders provides overview roles.
3, Plan risk Management, Inputs, Enterprise Environmental Factors,enterprise environmental factors can influence plan risk management process include are not limited risk attitudes thresholds tolerances describe degree risk organization will withstand.
4, Plan risk Management, Inputs, organizational Process Assets,organizational process assets can influence plan risk management process include are not limited project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management risk categories common definitions concepts terms risk statement formats standard templates roles responsibilities authority levels decision making lessons learned.
5, Plan risk Management, tools and techniques, Analytical techniques,analytical techniques are used understand define overall risk management context project. risk management context is a combination stakeholder risk attitudes strategic risk exposure a given based overall project context. example a stakeholder risk profile analysis may be performed grade qualify project stakeholder risk appetite tolerance. other techniques such as use strategic risk scoring sheets are used provide a high-level assessment risk exposure project based overall project context. depending assessments project team can allocate appropriate resources focus risk management activities.
6, Plan risk Management, tools and techniques, Expert Judgment,ensure a comprehensive establishment risk management plan judgment expertise should be considered groups individuals specialized training knowledge subject area such as senior management project stakeholders project managers who have worked projects same area (directly lessons learned) subject matter experts (smes) business project area industry groups consultants professional technical project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
7, Plan risk Management, tools and techniques, Meetings,project teams hold planning meetings develop risk management plan. attendees meetings may include project manager selected project team members stakeholders anyone organization responsibility manage risk planning execution activities others as needed.high-level plans conducting risk management activities are defined meetings. risk management cost elements schedule activities should be developed inclusion project budget schedule respectively. risk contingency reserve application approaches may be established reviewed. risk management responsibilities should be assigned. general organizational templates risk categories definitions terms such as levels risk probability type risk impact type objectives probability impact matrix will be tailored specific project. templates other steps process do not exist may be generated meetings. outputs activities are summarized risk management plan.
8, Plan risk Management, outputs, risk Management Plan,"risk management plan is a component project management plan describes risk management activities will be structured performed. risk management plan includes following methodology. defines approaches tools data sources will be used perform risk management project. roles responsibilities. defines lead support risk management team members type activity risk management plan clarifies responsibilities. budgeting. estimates funds needed based assigned resources inclusion cost baseline establishes protocols application contingency management reserves. timing. defines often risk management processes will be performed throughout project life cycle establishes protocols application schedule contingency reserves establishes risk management activities inclusion project project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management risk categories. provide a means grouping potential causes risk. several approaches can be used example a structure based project objectives category. a risk breakdown structure (rbs) helps project team look many sources project risk may arise a risk identification exercise. different rbs structures will be appropriate different types projects. organization can use a previously prepared custom categorization framework may take form a simple list categories may be structured rbs. rbs is a hierarchical representation risks according risk categories. example is shown figure distribution triangular triangular distributions are frequently used quantitative risk analysis. data shown figure left (beta distribution) is one example a family such distributions determined two ""shape parameters"". other commonly used distributions include uniform normal lognormal. charts horizontal (x) axes represent possible values time cost vertical (y) axes represent relative likelihood. figure example a risk breakdown structure (rbs) definitions risk probability impact. quality credibility risk analysis requires different levels risk probability impact be defined are specific project context. general definitions probability levels impact levels are tailored individual project plan risk management process use subsequent processes. table is example definitions negative impacts could be used evaluating risk impacts related four project objectives. (similar tables may be established a positive impact perspective). table illustrates relative numerical (in case nonlinear) project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk managementtable definition impact scales four project objectivesdefined conditions impact scales a risk major project objectives (examples are shown negative impacts only) relative numerical scales are shownproject low low moderate high high cost < cost – cost – cost > costcostincrease increase increase increase increaseinsignificant time < time – time – time > timetimeincrease increase increase increase increasescope reduction project end itemscope decrease minor areas major areas ofscope unacceptable is effectivelybarely noticeable scope affected scope affectedsponsor uselessonly demanding quality reduction quality reduction project end item quality degradationquality applications requires sponsor unacceptable is effectivelybarely noticeableare affected approval sponsor uselessthis table presents examples risk impact definitions four different project objectives. should be tailored risk management planning process individual project organization's risk thresholds. impact definitions can be developed opportunities a similar way. probability impact matrix. a probability impact matrix is a grid mapping probability risk occurrence impact project objectives risk occurs. risks are prioritized according potential implications having effect project’s objectives. a typical approach prioritizing risks is use a look-up table a probability impact matrix. specific combinations probability impact lead a risk being rated as “high” “moderate” “low” importance are usually set organization. revised stakeholders’ tolerances. stakeholders’ tolerances as apply specific project may be revised plan risk management process. reporting formats. reporting formats define outcomes risk management process will be documented analyzed communicated. describes content format risk register as well as other risk reports required. tracking. tracking documents risk activities will be recorded benefit current project risk management processes will be project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management"
9, Identify risks, Inputs, risk Management Plan ,key elements risk management plan contribute identify risks process are assignments roles responsibilities provision risk management activities budget schedule categories risk are sometimes expressed as a risk breakdown structure (figure
10, Identify risks, Inputs, cost Management Plan,cost management plan provides processes controls can be used help identify risks across project.
11, Identify risks, Inputs, Schedule Management Plan,schedule management plan provides insight project time/schedule objectives expectations may be impacted risks (known unknown).
12, Identify risks, Inputs, Quality Management Plan,quality management plan provides a baseline quality measures metrics use identifying project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
13, Identify risks, Inputs, Human resource Management Plan,human resource management plan provides guidance project human resources should be defined staffed managed eventually released. can also contain roles responsibilities project organization charts staffing management plan form a key input identify risk process.
14, Identify risks, Inputs, Scope Baseline,project assumptions are found project scope statement. uncertainty project assumptions should be evaluated as potential causes project risk.the wbs is a critical input identifying risks as facilitates understanding potential risks micro macro levels. risks can be identified subsequently tracked summary control account and/or work package levels.
15, Identify risks, Inputs, Activity cost Estimates,activity cost estimate reviews are useful identifying risks as provide a quantitative assessment likely cost complete scheduled activities ideally are expressed as a range width range indicating degree(s) risk. review may result projections indicating estimate is either sufficient insufficient complete activity (i.e. pose a risk project).
16, Identify risks, Inputs, Activity duration Estimates,activity duration estimate reviews are useful identifying risks related time allowances activities project as a whole width range such estimates indicating relative degree(s) risk.
17, Identify risks, Inputs, Stakeholder register,information stakeholders is useful soliciting inputs identify risks as will ensure key stakeholders especially stakeholder sponsor customer are interviewed otherwise participate identify risks project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
18, Identify risks, Inputs, Project documents,project documents provide project team information decisions help better identify project risks. project documents improve cross-team stakeholder communications include are not limited project charter project schedule schedule network diagrams issue log quality checklist other information proven be valuable identifying risks.
19, Identify risks, Inputs, Procurement documents,project requires external procurement resources procurement documents become a key input identify risks process. complexity level detail documents should be consistent value risks associated planned procurement.
20, Identify risks, Inputs, Enterprise Environmental Factors,enterprise environmental factors can influence identify risks process include are not limited published information including commercial databases academic studies published checklists benchmarking industry studies risk project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
21, Identify risks, Inputs, organizational Process Assets,organizational process assets can influence identify risks process include are not limited project files including actual data organizational project process controls risk statement formats templates lessons learned.
22, Identify risks, tools and techniques, documentation reviews,a structured review project documentation may be performed including plans assumptions previous project files agreements other information. quality plans as well as consistency plans project requirements assumptions may be indicators risk project.
23, Identify risks, tools and techniques, Information Gathering techniques,examples information gathering techniques used identifying risks can include brainstorming. goal brainstorming is obtain a comprehensive list project risks. project team usually performs brainstorming often a multidisciplinary set experts who are not part team. ideas project risk are generated leadership a facilitator either a traditional free-form brainstorm session structured mass interviewing techniques. categories risk such as a risk breakdown structure can be used as a framework. risks are identified categorized type risk definitions are refined. delphi technique. delphi technique is a way reach a consensus experts. project risk experts participate technique anonymously. a facilitator uses a questionnaire solicit ideas important project risks. responses are summarized are recirculated experts comment. consensus may be reached a rounds process. delphi technique helps reduce bias data keeps one person having undue influence project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management interviewing. interviewing experienced project participants stakeholders subject matter experts helps identify risks. root cause analysis. root-cause analysis is a specific technique used identify a problem discover underlying causes lead develop preventive action.
24, Identify risks, tools and techniques, checklist Analysis,risk identification checklists are developed based historical information knowledge has been accumulated previous similar projects other sources information. lowest level rbs can also be used as a risk checklist. a checklist may be quick simple is impossible build exhaustive one care should be taken ensure checklist is not used avoid effort proper risk identification. team should also explore items do not appear checklist. additionally checklist should be pruned time time remove archive related items. checklist should be reviewed project closure incorporate new lessons learned improve use future projects.
25, Identify risks, tools and techniques, Assumptions Analysis,project plan is conceived developed based a set hypotheses scenarios assumptions. assumptions analysis explores validity assumptions as apply project. identifies risks project inaccuracy instability inconsistency incompleteness assumptions.
26, Identify risks, tools and techniques, diagramming techniques,risk diagramming techniques may include cause effect diagrams. are also known as ishikawa fishbone diagrams are useful identifying causes risks. system process flow charts. show various elements a system interrelate mechanism causation. influence diagrams. are graphical representations situations showing causal influences time ordering events other relationships among variables outcomes as shown figure project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk managementproject riskestimates conditionprojectdeliverablesactivityfigure influence diagram
27, Identify risks, tools and techniques, SWot Analysis,technique examines project strengths weaknesses opportunities threats (swot) perspectives increase breadth identified risks including internally generated risks. technique starts identification strengths weaknesses organization focusing either project organization business area general. swot analysis identifies opportunities project arise organizational strengths threats arising organizational weaknesses. analysis also examines degree organizational strengths offset threats as well as identifying opportunities may serve overcome project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
28, Identify risks, tools and techniques, Expert Judgment,risks may be identified directly experts relevant experience similar projects business areas. such experts should be identified project manager invited consider aspects project suggest possible risks based previous experience areas expertise. experts’ bias should be taken account process.
29, Identify risks, outputs, risk register,primary output identify risks is initial entry risk register. risk register is a document results risk analysis risk response planning are recorded. contains outcomes other risk management processes as are conducted resulting increase level type information contained risk register time. preparation risk register begins identify risks process following information becomes available other project management risk management processes list identified risks. identified risks are described as much detail as is reasonable. a structure describing risks using risk statements may be applied example event may occur causing impact cause exists event may occur leading effect. addition list identified risks root causes risks may become evident. are fundamental conditions events may give rise one identified risks. should be recorded used support future risk identification other projects. list potential responses. potential responses a risk may sometimes be identified identify risks process. responses identified process should be used as inputs plan risk responses project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
30, Perform Qualitative risk Analysis, Inputs, risk Management Plan,key elements risk management plan used perform qualitative risk analysis process include roles responsibilities conducting risk management budgets schedule activities risk management risk categories definitions probability impact probability impact matrix revised stakeholders’ risk tolerances. inputs are usually tailored project plan risk management process. are not available may be developed perform qualitative risk analysis process.
31, Perform Qualitative risk Analysis, Inputs, Scope Baseline,projects a common recurrent type tend have well-understood risks. projects using state-of-the-art first-of-its-kind technology highly complex projects tend have uncertainty. can be evaluated examining scope project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
32, Perform Qualitative risk Analysis, Inputs, risk register,risk register contains information will be used assess prioritize risks.
33, Perform Qualitative risk Analysis, Inputs, Enterprise Environmental Factors,enterprise environmental factors may provide insight context risk assessment such as industry studies similar projects risk specialists risk databases may be available industry proprietary sources.
34, Perform Qualitative risk Analysis, Inputs, organizational Process Assets,organizational process assets can influence perform qualitative risk analysis process include information prior similar completed projects.
35, Perform Qualitative risk Analysis, tools and techniques, risk Probability and Impact Assessment,risk probability assessment investigates likelihood specific risk will occur. risk impact assessment investigates potential effect a project objective such as schedule cost quality performance including negative effects threats positive effects opportunities.probability impact are assessed identified risk. risks can be assessed interviews meetings participants selected familiarity risk categories agenda. project team members knowledgeable persons external project are included.the level probability risk impact objective is evaluated interview meeting. explanatory detail including assumptions justifying levels assigned are also recorded. risk probabilities impacts are rated according definitions given risk management plan. risks low ratings probability impact will be included within risk register as part watch list future project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
36, Perform Qualitative risk Analysis, tools and techniques, Probability and Impact Matrix,risks can be prioritized quantitative analysis planning risk responses based risk rating. ratings are assigned risks based assessed probability impact. evaluation risk’s importance priority attention is typically conducted using a look-up table a probability impact matrix. such a matrix specifies combinations probability impact lead rating risks as low moderate high priority. descriptive terms numeric values can be used depending organizational preference.each risk is rated probability occurrence impact objective does occur. organization should determine combinations probability impact result a classification high risk moderate risk low risk. a black-and-white matrix conditions are denoted using different shades gray. specifically figure dark gray area (with largest numbers) represents high risk medium gray area (with smallest numbers) represents low risk light gray area (with in-between numbers) represents moderate risk. usually risk-rating rules are specified organization advance project included organizational process assets. risk rating rules can be tailored plan risk management process specific impact matrixprobability threats low low moderate high high high high moderate low lowimpact (numerical scale) objective (e.g. cost time scope quality)each risk is rated probability occurring impact objective does occur. organization's thresholds low moderate high risks are shown matrix determine whether risk is scored as high moderate low objective.figure probability impact project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk managementas illustrated figure organization can rate a risk separately objective (e.g. cost time scope). addition may develop ways determine one overall rating risk. finally opportunities threats are handled same matrix using definitions different levels impact are appropriate each.the risk score helps guide risk responses. example risks have a negative impact objectives otherwise known as threats occur are high-risk (dark gray) zone matrix may require priority action aggressive response strategies. threats found low-risk (medium gray) zone may not require proactive management action beyond being placed risk register as part watch list adding a contingency reserve. similarly opportunities high-risk (dark gray) zone may be obtained easily offer greatest benefit should be targeted first. opportunities low-risk (medium gray) zone should be monitored.
37, Perform Qualitative risk Analysis, tools and techniques, risk data Quality Assessment,risk data quality assessment is a technique evaluate degree data risks is useful risk management. involves examining degree risk is understood accuracy quality reliability integrity data risk.the use low-quality risk data may lead a qualitative risk analysis little use project. data quality is unacceptable may be necessary gather better data. often collection information risks is difficult consumes time resources originally planned. values used example figure are representative. numbers steps scale are usually established defining risk attitude organization.
38, Perform Qualitative risk Analysis, tools and techniques, risk categorization,risks project can be categorized sources risk (e.g. using rbs) area project affected (e.g. using wbs) other useful categories (e.g. project phase) determine areas project exposed effects uncertainty. risks can also be categorized common root causes. technique helps determine work packages activities project phases even roles project can lead development effective risk project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
39, Perform Qualitative risk Analysis, tools and techniques, risk urgency Assessment,risks requiring near-term responses may be considered urgent address. indicators priority may include probability detecting risk time affect a risk response symptoms warning signs risk rating. some qualitative analyses assessment risk urgency is combined risk ranking is determined probability impact matrix give a final risk severity rating.
40, Perform Qualitative risk Analysis, tools and techniques, Expert Judgment,expert judgment is required assess probability impact risk determine location matrix shown figure experts generally are having experience similar recent projects. gathering expert judgment is often accomplished use risk facilitation workshops interviews. experts’ bias should be taken account process.
41, Perform Qualitative risk Analysis, outputs, Project documents updates,project documents may be updated include are not limited risk register updates. as new information becomes available qualitative risk assessment risk register is updated. updates risk register may include assessments probability impacts risk risk ranking scores risk urgency information risk categorization a watch list low probability risks risks requiring analysis. assumptions log updates. as new information becomes available qualitative risk assessment assumptions could change. assumptions log needs be revisited accommodate new information. assumptions may be incorporated project scope statement a separate assumptions log.
42, Perform Quantitative risk Analysis, Inputs, risk Management Plan,risk management plan provides guidelines methods tools be used quantitative risk
43, Perform Quantitative risk Analysis, Inputs, cost Management Plan,cost management plan provides guidelines establishing managing risk reserves.
44, Perform Quantitative risk Analysis, Inputs, Schedule Management Plan,schedule management plan provides guidelines establishing managing risk reserves.
45, Perform Quantitative risk Analysis, Inputs, risk register,risk register is used as a reference point performing quantitative risk analysis.
46, Perform Quantitative risk Analysis, Inputs, Enterprise Environmental Factors,enterprise environmental factors may provide insight context risk analysis such as industry studies similar projects risk specialists risk databases may be available industry proprietary project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
47, Perform Quantitative risk Analysis, Inputs, organizational Process Assets,organizational process assets can influence perform quantitative risk analysis process include information prior similar completed projects.
48, Perform Quantitative risk Analysis, tools and techniques, data Gathering and representation techniques,"interviewing. interviewing techniques draw experience historical data quantify probability impact risks project objectives. information needed depends upon type probability distributions will be used. instance information would be gathered optimistic (low) pessimistic (high) likely scenarios some commonly used distributions. examples three-point estimates cost are shown figure additional information three-point estimates appears estimate activity durations (section estimate costs (section documenting rationale risk ranges assumptions behind are important components risk interview can provide insight reliability credibility analysis.range project cost estimates wbs element low likely highdesign project relevant stakeholders helps determine three-point estimates wbselement triangular beta other distributions. example likelihood completingthe project likely estimate million is relatively small as shown simulation results figure (cost risk simulation results).figure range project cost estimates collected risk project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management probability distributions. continuous probability distributions are used extensively modeling simulation represent uncertainty values such as durations schedule activities costs project components. discrete distributions can be used represent uncertain events such as outcome a test a possible scenario a decision tree. two examples widely used continuous distributions are shown figure distributions depict shapes are compatible data typically developed quantitative risk analysis. uniform distributions can be used is no obvious value is likely other specified high low bounds such as early concept stage design.beta distribution triangular triangular distributions are frequently used quantitative risk analysis. data shown figure left (beta distribution) is one example a family such distributions determined two ""shape parameters"". other commonly used distributions include uniform normal lognormal. charts horizontal (x) axes represent possible values time cost vertical (y) axes represent relative likelihood. figure examples commonly used probability project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management"
49, Perform Quantitative risk Analysis, tools and techniques, Quantitative risk Analysis and Modeling techniques,commonly used techniques use event-oriented project-oriented analysis approaches including sensitivity analysis. sensitivity analysis helps determine risks have potential impact project. helps understand variations project’s objectives correlate variations different uncertainties. conversely examines extent uncertainty project element affects objective being studied other uncertain elements are held baseline values. one typical display sensitivity analysis is tornado diagram (figure is useful comparing relative importance impact variables have a high degree uncertainty are stable. tornado diagram is also helpful analyzing risk-taking scenarios enabled specific risks whose quantitative analysis highlights possible benefits greater corresponding identified negative impacts. a tornado diagram is a special type bar chart used sensitivity analysis comparing relative importance variables. a tornado diagram y-axis contains type uncertainty base values x-axis contains spread correlation uncertainty studied output. figure uncertainty contains a horizontal bar is ordered vertically show uncertainties a decreasing spread base values.risk negative impactrisk positive impactrisk example tornado project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management expected monetary value analysis. expected monetary value (emv) analysis is a statistical concept calculates average outcome future includes scenarios may may not happen (i.e. analysis uncertainty). emv opportunities are generally expressed as positive values threats are expressed as negative values. emv requires a risk-neutral assumption—neither risk averse nor risk seeking. emv a project is calculated multiplying value possible outcome probability occurrence adding products together. a common use type analysis is a decision tree analysis (figure definition decision node chance node net path valueinput scenario probability input cost decision computed decision reward occursoutput decision made payoffs minus costs be made output expected monetary along pathvalue (emv) strong demand = – new plant(invest = + weak demand (before costs) build = – upgrade? new plant considering demand decision emv = strong demand(the larger = – plant(invest nodechance node $ m = + wea($k branch emv (before costs) upgrade = – considering demand note decision tree shows make a decision alternative capital strategies (represented as “decision nodes”) environment contains uncertain elements (represented as “chance nodes”).note a decision is being made whether invest us build a new plant instead invest us upgrade existing plant. decision demand (which is uncertain therefore represents a “chance node”) must be accounted for. example strong demand leads revenue new plant us upgraded plant perhaps due capacity limitations upgraded plant. end branch shows net effect payoffs minus costs. decision branch effects are added (see shaded areas) determine overall expected monetary value (emv) decision. remember account investment costs. calculations shaded areas upgraded plant has a higher emv – also emv overall decision. (this choice also represents lowest risk avoiding worst case possible outcome a loss decision tree project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management modeling simulation. a project simulation uses a model translates specified detailed uncertainties project potential impact project objectives. simulations are typically performed using monte carlo technique. a simulation project model is computed many times (iterated) input values (e.g. cost estimates activity durations) chosen random iteration probability distributions variables. a histogram (e.g. total cost completion date) is calculated iterations. a cost risk analysis a simulation uses cost estimates. a schedule risk analysis schedule network diagram duration estimates are used. output a cost risk simulation using three-element model risk ranges is shown figure illustrates respective probability achieving specific cost targets. similar curves can be developed other project objectives.total project costcumulative = cumulative distribution assuming data ranges figure triangular distributions shows project is percent likely meet million likely cost estimate. a conservative organization wants a likelihood success a budget million (a contingency nearly % - is required.figure cost risk simulation project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
50, Perform Quantitative risk Analysis, tools and techniques, Expert Judgment,expert judgment (ideally using experts relevant recent experience) is required identify potential cost schedule impacts evaluate probability define inputs such as probability distributions tools.expert judgment also comes play interpretation data. experts should be able identify weaknesses tools as well as strengths. experts may determine a specific tool may may not be appropriate given organization’s capabilities culture.
51, Perform Quantitative risk Analysis, outputs, Project documents updates,project documents are updated information resulting quantitative risk analysis. example risk register updates could include probabilistic analysis project. estimates are made potential project schedule cost listing possible completion dates costs associated confidence levels. output often expressed as a cumulative frequency distribution is used stakeholder risk tolerances permit quantification cost time contingency reserves. such contingency reserves are needed bring risk overrunning stated project objectives a level acceptable organization. probability achieving cost time objectives. risks facing project probability achieving project objectives current plan can be estimated using quantitative risk analysis results. instance figure likelihood achieving cost estimate million is prioritized list quantified risks. list includes risks pose greatest threat present greatest opportunity project. include risks may have greatest effect cost contingency are likely influence critical path. risks may be evaluated some cases a tornado diagram generated as a result simulation analysis. trends quantitative risk analysis results. as analysis is repeated a trend may become apparent leads conclusions affecting risk responses. organizational historical information project schedule cost quality performance should reflect new insights gained perform quantitative risk analysis process. such history may take form a quantitative risk analysis report. report may be separate linked risk project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
52, Plan risk responses, Inputs, risk Management Plan,important components risk management plan include roles responsibilities risk analysis definitions reviews (and eliminating risks review) risk thresholds low moderate high risks. risk thresholds help identify risks specific responses are needed.
53, Plan risk responses, Inputs, risk register,risk register refers identified risks root causes risks lists potential responses risk owners symptoms warning signs relative rating priority list project risks risks requiring responses near term risks additional analysis response trends qualitative analysis results a watch list is a list low-priority risks within risk register.
